index,HOOD,ratio,score_out_of_10,ZIP_CODE,SCORE,AMOUNT,final_score
101,Ross Township,,,15237,4.358974358969999,92.0,4.358974358969999
51,Garfield,1.7945357751287128,2.648106737376867,15224,5.897435897429999,79.0,4.272771317403433
14,Bloomfield,1.7786897203286909,2.624088270350466,15224,5.897435897429999,79.0,4.260762083890233
116,Strip District,0.8589289860000001,1.229971996713615,15222,7.17948717948,59.0,4.204729588096807
65,Lawrenceville,,,15201,4.10256410256,98.0,4.10256410256
86,Northview Heights,2.712592867,4.039640735443912,,,,4.039640735443912
68,Lincon Place,,,15207,3.58974358974,99.0,3.58974358974
93,Pleasent Hills,,,15236,3.33333333333,113.0,3.33333333333
108,South Side Slopes,1.1033086244789916,1.60038749525924,15203,4.87179487179,86.0,3.23609118352462
120,Terrace Village,2.066504008113044,3.0603393163121377,,,,3.0603393163121377
52,Glen Hazel,1.581039395,2.324502166328032,15207,3.58974358974,99.0,2.957122878034016
96,Point Breeze North,1.9363655120422536,2.863083455709072,,,,2.863083455709072
26,Central Lawrenceville,1.934139302481328,2.859709105335572,,,,2.859709105335572
107,South Side Flats,1.8224478363960397,2.690414108621553,,,,2.690414108621553
91,Perry North,0.990049874480851,1.4287169067997103,15214,3.84615384615,98.0,2.6374353764748553
126,West Oakland,1.773651195,2.6164511861679305,,,,2.6164511861679305
39,East Liberty,1.7499935972054794,2.580592466775469,,,,2.580592466775469
34,Crawford-Roberts,1.7473059403829787,2.5765186832637887,,,,2.5765186832637887
43,Emsworth,,,15202,2.5641025641,139.0,2.5641025641
11,Bellvue,,,15202,2.5641025641,139.0,2.5641025641
5,Avalon,,,15202,2.5641025641,139.0,2.5641025641
13,Ben Avalon,,,15202,2.5641025641,139.0,2.5641025641
55,Hazelwood,1.0543803357660169,1.5262250299679312,15207,3.58974358974,99.0,2.5579843098539654
112,Squirrel Hill North,1.685002735715719,2.4820833499379438,,,,2.4820833499379438
4,Arlington Heights,1.683838125,2.4803181052491485,,,,2.4803181052491485
50,Friendship,1.6804771865,2.475223803130498,,,,2.475223803130498
25,Central Business District,1.680257174825,2.474890323079589,,,,2.474890323079589
63,Larimer,1.954409919528572,2.89043404938621,15206,2.05128205128,174.0,2.470858050333105
19,Brookline,1.1933359195562403,1.7368452852629686,15226,3.07692307692,121.0,2.4068841810914843
80,Mt. Oliver,1.633628857,2.4042140110063306,,,,2.4042140110063306
85,North Shore,1.620430280764045,2.384208427779502,,,,2.384208427779502
79,Mount Washington,1.3124498430772358,1.917390782585766,15211,2.82051282051,124.0,2.3689518015478828
12,Beltzhoover,1.592959297673077,2.3425696154770037,,,,2.3425696154770037
60,Homewood South,1.5921516545770924,2.341345440165557,,,,2.341345440165557
32,Crafton,,,15205,2.30769230769,155.0,2.30769230769
59,Homewood North,1.538214244936842,2.259590460059592,,,,2.259590460059592
57,Highland Park,1.517533434272388,2.2282437699659323,,,,2.2282437699659323
62,Knoxville,1.5159669171546963,2.225869340480966,,,,2.225869340480966
95,Point Breeze,1.5052338225627375,2.209600781410487,,,,2.209600781410487
28,Central Oakland,1.4947285802054795,2.193677586625006,,,,2.193677586625006
2,Allentown,1.4816226679217877,2.173812457669607,,,,2.173812457669607
69,Lower Lawrenceville,1.4780124289651164,2.168340281381405,,,,2.168340281381405
78,Mount Oliver Borough,1.4377800836958765,2.107358587802844,,,,2.107358587802844
106,South Shore,1.418866183,2.0786900702483107,,,,2.0786900702483107
36,East Allegheny,1.4172151015092025,2.0761874633316304,,,,2.0761874633316304
97,Polish Hill,1.3948431099999998,2.0422773862077044,,,,2.0422773862077044
122,Upper Hill,1.38826641635514,2.032308841895237,,,,2.032308841895237
53,Greenfield,1.372648090189911,2.0086355518087604,,,,2.0086355518087604
61,Homewood West,1.371299388988372,2.006591274179632,,,,2.006591274179632
35,Duquesne Heights,0.8268508755364239,1.1813499864932802,15211,2.82051282051,124.0,2.00093140350164
115,Stanton Heights,1.36380970653,1.995238878051078,,,,1.995238878051078
75,Morningside,1.3560030180068028,1.9834059837915212,,,,1.9834059837915212
46,Fairywood,1.135860675,1.6497278744228596,15205,2.30769230769,155.0,1.97871009105643
27,Central Northside,1.3151711926465517,1.9215156354733025,,,,1.9215156354733025
73,Middle Hill,1.2933661196542057,1.888464858274538,,,,1.888464858274538
15,Bluff,1.2678291268206523,1.8497574684499565,,,,1.8497574684499565
105,South Oakland,1.2651280692195122,1.8456633728691876,,,,1.8456633728691876
18,Brighton Heights,1.2568104228791943,1.833056000442209,,,,1.833056000442209
24,Central Buisness District,,,15219,1.79487179487,177.0,1.79487179487
20,California-Kirkbride,1.206760313,1.757193148207247,,,,1.757193148207247
71,Marshall-Shadeland,1.1661234836932908,1.6955983628125046,,,,1.6955983628125046
118,Swisshelm Park,1.14752855,1.6674133156568054,,,,1.6674133156568054
21,Carrick,1.1407257688631756,1.6571020819469222,,,,1.6571020819469222
67,Lincoln-Lemington-Belmar,1.1402513164798658,1.6563829364518483,,,,1.6563829364518483
123,Upper Lawrenceville,1.1352055479374998,1.6487348734552787,,,,1.6487348734552787
1,Allegheny West,1.095645422,1.5887720882458785,,,,1.5887720882458785
98,Regent Square,1.064719616,1.5418966696606264,,,,1.5418966696606264
17,Brentwood,,,15227,1.53846153846,184.0,1.53846153846
88,Oakwood,1.057951641,1.5316381929341178,,,,1.5316381929341178
121,Troy Hill,1.0090962011885714,1.4575861474893743,,,,1.4575861474893743
103,Sheraden,1.0053061284508815,1.4518413903099576,,,,1.4518413903099576
47,Fineview,0.99913104452,1.4424815810924017,,,,1.4424815810924017
33,Crafton Heights,0.975831269256,1.407165226898034,,,,1.407165226898034
42,Elliott,0.9633200867215688,1.3882015524089046,,,,1.3882015524089046
109,Spring Garden,0.959321903267442,1.382141353913421,,,,1.382141353913421
38,East Hills,0.9592105288031916,1.3819725394084266,,,,1.3819725394084266
3,Arlington,0.9387365962112676,1.3509394222656537,,,,1.3509394222656537
37,East Carnegie,0.925006119,1.330127616531199,,,,1.330127616531199
48,Forest Hills,,,15221,1.28205128205,190.0,1.28205128205
129,Wilkinsburg,,,15221,1.28205128205,190.0,1.28205128205
31,Chateau,0.874690575,1.2538624357192694,,,,1.2538624357192694
10,Beechview,1.1140052843584909,1.616600828852408,15216,0.76923076923,200.0,1.192915799041204
110,Spring Hill-City View,0.8306717471699029,1.1871414267286564,,,,1.1871414267286564
